Title,Company,City,State,Salary_Min,Salary_Max,Description,Date_Posted,URL,Avg_Salary,Skills_Found
Data Analyst – Procurement & Quality,Carpenter Technology USA,Greenfield Manor,Pennsylvania,115383.13,115383.13,"Carpenter Technology Corporation is a leading producer and distributor of premium specialty alloys, including titanium alloys, nickel and cobalt based superalloys, stainless steels, alloy steels and tool steels. Carpenter’s high-performance materials and advanced process solutions are an integral part of critical applications used within the aerospace, transportation, medical and energy markets, among other markets. Building on its history of innovation, Carpenter’s wrought and powder technolog…",2026-02-05T13:28:29Z,https://www.adzuna.com/land/ad/5615826956?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=F0ED08D1C60509439AEAD7C30054771CC64FD02B,115383.13,[]
Data Analyst,Guidehouse,Westlake,Maryland,131132.33,131132.33,"Job Family : Data Science Consulting Travel Required : None Clearance Required : Active Top Secret SCI with Polygraph What You Will Do : Work with a senior leader to apply data analytics principles to transform raw data into actionable insights, incorporating emerging trends and available initiatives, to inform financial management and budgetary strategy for a Federal C-suite client. Deliver innovative processes to integrate disparate data utilizing tools such as Tableau, Microsoft BI, and/or Q…",2026-02-09T00:16:33Z,https://www.adzuna.com/land/ad/5621189366?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=3C1DC71C2D7257DBBAA2CB02F7FA02671E0883D4,131132.33,['tableau']
Health Care Data Analyst,University Health,San Antonio,Texas,64388.79,64388.79,"POSITION SUMMARY/RESPONSIBILITIES Responsible for research, data collection and analysis of health plan data to identify areas for improving cost savings, utilization management, satisfaction, and market share. Serves as a subject matter expert and coach to other CFHP analysts. Acts as primary health plan resource to analyze and improve organizational performance. Identifies areas for improvement, documents business processes, researches best practices, and assists process owners to implement c…",2026-02-09T07:06:26Z,https://www.adzuna.com/land/ad/5621388503?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=DE363EB917FF66FD308F00D9C9779D39A18F8EBA,64388.79,[]
Data Analyst,ProKatchers,Streetsboro,Ohio,92160.76,92160.76,"Job Title : Data Analyst/ Data Coordinator/Data Specialist Location : Streetsboro, OH 44241 Shift Details : 5 Days on site Duration : 6 Months Job Category ; Office/Administration Industry : Beauty, Cosmetics, CPG , Ecommerce ,Personal Care",2026-02-07T07:26:28Z,https://www.adzuna.com/land/ad/5619035534?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=6652D8D9513ED4D8D2216C2DFFA1488D15B4DA8C,92160.76,[]
Data Analyst,Jobot,Las Vegas,Nevada,86019.84,86019.84,"Our client in Las Vegas is looking to hire a Data Analyst! This position is in the office 3 days per week paying up to $75,000 per year. This Jobot Job is hosted by: Nick Frei Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $60,000 - $75,000 per year A bit about us: Our clientis currently seeking a Data Analyst to join their dynamic Tech Services team. The ideal candidate will be responsible for collecting, analyzing, and interpreting vast am…",2026-02-02T20:38:48Z,https://www.adzuna.com/land/ad/5611162422?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=EF734111004BEEB5C91A9A7223E54D19EA585A58,86019.84,[]
Data Analyst,Axelon Services Corporation,Oakland,California,58446.23,58446.23,"Job Title: Business Analyst Location: Oakland, CA Pay: 12 Months Top Things Strong data analysis skills, including the ability to work with large data sets, identify trends, ask meaningful questions, and translate data into clear findings. Intermediate Excel skills, with the ability to build and adjust pivot tables, maintain trackers, and perform data validation and quality checks to ensure accurate and reliable reporting. Comfortable working in a fast-paced environment, managing changing prior…",2026-02-07T07:26:04Z,https://www.adzuna.com/land/ad/5619035473?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=165AA3330D8BE5FCCB08789DD39AAD961B284AEB,58446.23,['excel']
Data Analyst,Jobot,Columbia,Maryland,99019.19,99019.19,"Exciting opportunity to join an industry leading building materials manufacturing company! Onsite role- Local candidates only This Jobot Job is hosted by: Matt Tassoni Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $75,000 - $105,000 per year A bit about us: Exciting opportunity to join an industry leading building materials manufacturing company! New site! Why join us? Medical Dental Vision 401k PTO and more! Job Details Responsibilities Co…",2026-02-02T20:40:03Z,https://www.adzuna.com/land/ad/5611164724?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=D1E149D319FC15B63B6D6C5B55C6684A3CF1006C,99019.19,[]
Senior Data Analyst,Guidehouse,Springfield,Virginia,118782.35,118782.35,"Job Family: Data Science Consulting Travel Required: Up to 10% Clearance Required: Active Top Secret SCI (TS/SCI) What You Will Do: This Senior Data Analyst role will support the Chief of Staff for a major Program Executive Office (PEO) at the National Geospatial-Intelligence Agency (NGA) with business analytics, specifically assisting with financial analysis and creating data visualizations or ad hoc analytical reports to monitor for financial risks and opportunities. Financial analysis could …",2026-02-09T03:40:45Z,https://www.adzuna.com/land/ad/5621284416?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=CD57BF22CE18F23A84A0550225D9D76CA0959FA9,118782.35,[]
Data Analyst (Contractor),Instacart,San Luis Obispo,California,80976.8,80976.8,"We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",2025-12-04T16:06:27Z,https://www.adzuna.com/land/ad/5528338013?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=D14AE72D03E78BF8EFA8B347E56A88100333A8CF,80976.8,[]
Data Analyst (Contractor),Instacart,Chicago,Illinois,71929.18,71929.18,"We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",2025-12-04T16:04:42Z,https://www.adzuna.com/land/ad/5528329241?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=E91EFD992F26415D26B7BE3DDB2622EF0A64BB16,71929.18,[]
Data Analyst (Contractor),Instacart,The Woodlands,Texas,72721.55,72721.55,"We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …",2025-12-04T16:09:35Z,https://www.adzuna.com/land/ad/5528359778?se=hLoT_h8G8RGFq4ybVf_qIg&utm_medium=api&utm_source=00b04c28&v=CD49AFA189BF6501044429A4A9B2A858E2D6D173,72721.55,[]
